,IP_Address,2,3,Date&Time,4,Request,Status_Code,Page_code,Access_page,Browser
51,192.168.43.52,-,-,[26/Jun/2020:23:10:57,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
52,192.168.43.52,-,-,[26/Jun/2020:23:10:58,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
53,192.168.43.52,-,-,[26/Jun/2020:23:10:59,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
54,192.168.43.52,-,-,[26/Jun/2020:23:11:00,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
55,192.168.43.52,-,-,[26/Jun/2020:23:11:01,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
56,192.168.43.52,-,-,[26/Jun/2020:23:11:02,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
57,192.168.43.52,-,-,[26/Jun/2020:23:11:03,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
58,192.168.43.52,-,-,[26/Jun/2020:23:11:04,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
59,192.168.43.52,-,-,[26/Jun/2020:23:11:05,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
60,192.168.43.52,-,-,[26/Jun/2020:23:11:12,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
61,192.168.43.52,-,-,[26/Jun/2020:23:11:13,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
62,192.168.43.52,-,-,[26/Jun/2020:23:11:14,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
63,192.168.43.52,-,-,[26/Jun/2020:23:11:14,+0530],GET / HTTP/1.1,200,819,-,curl/7.61.1
